content,date,index,title,writer
"강의 듣고서 EX랑 수능 풀고 해설듣고 다시 풀어보고 하는데 이걸로는 문제수가 부족한데 어떤 문제집을 가지고 병행하는게 좋을지... 백인대장 평가원+수능 기출문제집이 있는데 강의 듣고 기출풀고 EBS까지 풀면 괜찮을지... EBS랑 기출이랑 인강이 따로 놀다보니 뭐 제대로 되는게 없더군요. 하루에 수1,수2,기벡을 다 하니... 다른님들은  한석원강의 들으면서 어떤식으로 공부하세요?                   게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    ※ 1타 수학 선생님들의 강의사진 등을 올려주시면 추첨후 버거를 드립니다. : http://cafe.naver.com/suhui/10360327",2012.04.15. 00:25,10367494,한석원 선생님 수업 어떤식으로 따라가야할까요?,ㅇㅇㅇ
"현재 이과고 4~5등급정도... 2,3점 겨우 푸는경도랄까... 개념이 부족한지 문제풀이가 부족한지 모르겠어 개념이 부족한거 같아서 개념서 피고 다시 공부하거나 강의 들으면 또 다 아는내용이긴 한데... 기본적인 문제도 못푸니... 이것저것 막하기는 하는데...뭐 하나 제대로 되는것도 없고... 여튼 겨울방학때  신승범쌤 수학적접근 적분커리까지 갔다가 양이 많은지 고쟁이때문인지 여튼 벅차서 못따라가다가 포기함... 그리고 애들 추천으로 한석원 일차변환 듣는중인데 현재 통계 학교에서 한게 다이고 미분적분도 부족해서 다시 들을려고... 원래 계획은 일차변환 -미분- 적분 -통계, 공간좌표 이렇게 할까 했는데 갑작스럽게 한석원쌤 알텍 하다가 느낀건데  강의 들을때 기하학적으로 풀이하는거에 감탄하고 복습하고 EX랑 수능발전도 다시 풀어보고 했는데 막상 다른문제집이나 이런걸 푸니깐 그냥 내식대로 개같이 풀고있더군... 기하학적으로 생각하려해도 기억이 안나... 그래서 급격히 고민중임... 근데  친구들은 삽자루 굉장히 싫어함...삽자루 들을까 하면 비웃는정도... 망하려고 삽자루 듣냐면서.... 후 미치겠다... 객관적으로 봤을때 어떻게 해야할것 같아... 나도 내머릿속이 정리가 안되서 주저리 주저리 했는데 정리하면 1. 이과 5등급 2. 개념, 문제풀이 부족 3. 미분부터 다시 들으려함 4. 나한테 한석원과 삽자루 누가 좋을까.... 5. 삽자루샘 문제량 어느정도?... 6. 현재 한석원일차변환, EBS수1,수2, 백인대장 기출문제푸는데 너무 많은 것 같아...어떤식으로 공부해야할지좀... 7. 방금 삽자루 커리확인했는데 이제 정석 적통 진행중이던데 너무 늦는거 아닌가? 정석하고 파렙같이 병행해야함?               게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    ※ 1타 수학 선생님들의 강의사진 등을 올려주시면 추첨후 버거를 드립니다. : http://cafe.naver.com/suhui/10360327",2012.04.14. 21:14,10366060,삽자루 한석원 선택 좀 도와줘....,ㅇㅇㅇ
"        적통수해듣는중인데 신승범기벡수접 하려다가 기벡은 한석원이 갑이라는 의견이 워낙많아서..  알텍에서 개념정리해줘?  공간도형 학원에서 수업다하긴 햇는데 내가진짜 문제를 한개도못풀거든? 수업은 어느정도 이해했다고생각했는데.. 아무래도 개념이 안된것같아 그래두 생각의질서 듣는게낫겟지? 알텍보단              게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.12. 00:03,10355364,한석원 기벡 인강들어본사람ㅠㅠ,꿈틀
공간도형 완전못하거든ㅠㅠ개념을 수업을 듣긴듣는데 문제를하나도못풀어 알텍보다는 생각의질서로 개념잡는게낫겟지? 알텍에서 개념정리해줘?,2012.04.11. 23:53,10355276,한석원인강 들어본사람ㅠㅠ기벡 ,꿈틀
"EBS를 풀면서 인강도 같이 듣기에 수월한 선생님추천좀해주세요. 좀 파트별로 듣기에 괜찮은선생님이요.               게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.11. 20:48,10353677,정승제와 한석원 딴것과 병행할수 있는선생님추천좀...,야구몽키
"    적통 누가 더 좋아요????       게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.11. 16:55,10352385,적통 한석원 vs 신승범,한설
"이과구요   기벡은 한석원 적통은 신승범이라 하던데 맞나요?   신승범샘은 시간이 별로 없어서 수해 듣고 약체 듣기가 좀 벅찰 듯 싶기도 하고 ㅠㅠ   1. 기벡은 한석원 샘이 더 잘 가르쳐요????  그리고 알텍 난이도 어떤가요? 크포 많이 어려워요?   2. 적통은 신승범 샘이 더 잘 가르치나요? 약체 많이 어려워요? 수해 꼭 들어야 될까요? 수해 난이도가 어느 정도에요?   아까 신승범샘만 질문했다가 한석원 샘이 기벡을 잘 가르치신다길래 다시 올려요 참고로 3월모의 수리가형은 1등급나왔어요 수1, 수2만 들어가서..   게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.09. 02:44,10341535,신승범 vs 한석원,한설
"  삽자루하다 개념이 뭔가부족하다는새각에 둘중에 하나 탈까고민되는데   뭐랄가 개념잘설명해주고 그럼?..                 게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.08. 21:01,10339170,삽자루 한석원 신승버 잘아는분,gasdgsas
"          교재없는데 풍산자로공부하면서 들으려고하는데 괜찮을까??   백호 생물2 는 완자로 하고..         게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.08. 17:04,10337831,한석원강의,아낙느
"   한석원t 문과가 듣기에 괜찮음 ?   검색해보닌까 죄다 이과생들이 써놨네 . 삼각함수 특강 들어봤는데 나랑 엄청 잘 맞더라 .  그런데 , 고민인게 알파테크닉? 그거하고 생각의질서? 그게 있는데  내가 송진규 t 개념강의를 들었거든  그럼 알파테크닉부터 들어야 하는거야?  생각의질서가 완전 쌩 기초?  한석원 커리 다 탈껀데 정말 기초강의면 굳이 안들어도 되잖아.  한석원 t 들어본사람들 있으면 대답좀 해줘 . 공부 시간은 많아서 한달안에 생각의 질서 미적까지 다 들을수 있거든  따로 듣는 강의도 많이 없고.  대답좀 해줘 ㅠㅠ.                   게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.08. 16:24,10337630,한석원 수리 인강,홍삼엑기스
"  우선 제가 가형인디여 취약부분이 수1은 수열 수2는 그럭 적통기벡 취약부분인데 보니까 신승범 한석원 잇는데 기벡은 한석원한석원 하는데; 우선둘다 수2랑 기벡적통 대충이라도들어본분 강의 어케차이잇음?..                                       ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.   1타 언어영역 선생님들의 애제자를 찾습니다.  : http://cafe.naver.com/suhui/10328614  알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.04.08. 14:38,10337088,신승범 한석원 제자들 컴,gasdgsas
"  제가가형인데 지금 삽자루 듣고잇는데 뭐랄가 개념정립이안되는느낌이잇어서 우선 6월달까지는 그래도 꾸역구역열심히들으려고하는데 알아보니 가형개념은 한석원 신승범 잘가르친다는데 개념내용면에서 어떻고 문제 내용어떻고 강의수면에서 어떻죠 글고보니까 수해? 알파테크 두개 개념같은거 자세히설명해주나요 어느정도 흐름정도만안다면?                 게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.08. 13:29,10336765,"삽자루,한석원 신승범잘아시는분",gasdgsas
"    내가 이리 개념이 바닥일줄은 몰랐음   일반 시중 개념서 몇번 돌리고 했지만   한석원 알텍 듣고 ex문제나 수능문제로   넘어가지가 않네 ㄷ;;   특히 미분 들어가선 더욱 그렇다.,.. ㅠ   아 생각의 질서부터 다시 파야되나... ㅠㅠ               게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다.    1타 언어영역 선생님들의 애제자를 찾습니다. : http://cafe.naver.com/suhui/10328614",2012.04.07. 17:48,10332081,아... 한석원 알텍 이해 안된다 ㅠ,빠나나맛우유
"아 우리 한석원느님이 ㅅㅂ 이라고 욕하면서 강의했어 개 실망    욕하는인강선생짱시른데 ㅋㅋㅋㅋㅋ 삽자루                   ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.04.06. 00:23,10327332,ㅡㅡ한석원 인강듣다깝놀,tenbaby8070
,2012.04.05. 23:24,10326937,이과 한석원,파란
,2012.04.05. 20:44,10326176,한석원 알파테크닉,파란
        교재가 없어도 수업듣는데 큰 지장 없나요?? 그리구 교재는 기출 100% 로 되 잇나요.??                            ,2012.04.05. 13:09,10325312,한석원 알파테크닉!!ㅣ질문좆ㅁ..,sh_yn
"교재가 없어도 수업듣는데 큰 지장 없나요?? 그리구 교재는 기출 100% 로 되 잇나요.??                             ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.04.05. 13:09,10325311,한석원 알파테크닉 들어본 사람 질문좀..,sh_yn
,2012.04.04. 19:19,10322645,한석원 프패 ,재수생ㅡ
,2012.04.04. 00:46,10321037,한석원 인강,파란
"과외, 학원, 유료인강 등 사교육에 돈 써본 적 없는 N수생입니다.   학교 수업만 들었고... 수업은 열심히 들었으나 복습 zero.....   결국 올해 수능을 다시 보네요..^^;;   사람들이 인강 인강 할 때, 수험생때는 그냥 그게 그거겠지 했어요   근데 올해는 정말 무슨일이 있어도 해야겠다 싶으니까 인강에 솔깃하게 되네요...   그래서 몇일 찾아보고 맛보기 강의만 들어봤는데 한석원선생님으로 결정은 했거든요.   음..   전 일단 바이블로 개념 혼자 훑고 있는데.. (수리 공부한지 쪼끔 오래돼서^^)   마음이 안잡히고 불안하고 해서 알텍 들어볼까 하거든요? 최근 수능에서 수리가형 3등급 나왔어요   확실히 달라요? EBS 선생님들이랑, 학교 선생님들이랑?   고득점 받기 더 쉬워지나요?^^   등록금에 쓰려고 모아놓은 돈.... 인강 은근히 비싸네요 이과는 과목이 여러가지다 보니...ㅠㅠ   답변주세용~~    ",2012.04.04. 00:04,10320743,수리 인강은 EBS나 학교 수업을 뛰어넘는 뭔가가 있는건가요?? ex 한석원...,노엘
   제가 수리나형도 빠가거든요.. 5등급나와요  그런데다 지금 여태내내놀아서 개념도 거의다잊은상태고    그런데 한석원 알텍 으로 시작해도될까요?  아니면 혼자서 개념공부 한바퀴돈다음 들어야할까요?,2012.04.03. 21:58,10319937,한석원 알텍 나형 수강하려는데요,빌립
"      한석원 덕분에 기출에서 틀리거나 고민따위 하는게 사라졋다....... 진짜 수2,적통 옛날엔 겨우겨우 풀엇는데  이제는 수학이 졸라 쉽고 재밋다...... 수학 진짜 잘하고싶은사람., 한석원 추천한다  수학의 본질이 뭔지 보여준다  인강쌤막 사람마다 다르다 이런거 아닌것같아..... 진짜 나는 인강 다들어보면서 다좋앗음.. 그런데 한석원은 뭔가 느낌이달라    진짜 수학에대한 본질은 한 석 원......   오늘 기출풀다가 소름끼쳣어ㅠ.ㅠ 눈물좀닦고 다시 수학하러감..열공하셈                       ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.04.03. 20:01,10319446,진짜 한석원 졸라 죠으다 감사한다..,독학재수홧팅
"  한석원 티치미, 대성마이맥에 둘다 있던데   둘다 똑같은거? 어디사이트가 좋을까?                ",2012.04.01. 13:09,10310425,한석원 티치미? 대성마이맥?,킨
나이과구 기벡들으려고 하거든 ?? 이차곡선까지는 어느정도아는데 공간부터 너무 잼병이라서...  한석원쌤 들어볼려고 하는데 생각의질서?? 알파테크닉 두개 있던데  일단 개념은 한번햇고 모의3~4야 빨리 답변좀 부탁할게 ㅠ                   ,2012.04.01. 10:26,10309857,한석원 인강 질문좀 ㅠㅠ 급해!!,흐하하
,2012.03.31. 20:12,10306978,미적 신승범 ? 한석원?,긍정의힘ㅇㅅㅇ
,2012.03.31. 03:09,10304277,한석원알텍듣고잇는데,namtaehyoung
저희반애들 이 강사두분꺼 많이듣던데 어떤게더나아요?? 전 한석원듣고있어서 한석원ㅋ,2012.03.29. 21:31,10298638,신승범?? 한석원??,Verrit
,2012.03.29. 17:59,10297909,한석원 기벡듣지마라,Blasi
고3학생인데요 이과생인데 이번에 수리 나형으로 전향했어요.. 프리패스를 구매하는게 나을까요 아니면 무한패스를 구매해서 나중에 절대지존만 듣거나 하는게 나을까요??? 사실 프리패스구매하면 알텍이랑 크포랑 절대지존 그리고 파이널까지 다 들을 수있는데 제가 EBS 자이 모의고사를 하고있는 와중에 그것까지 다 할 수 있을까하는 생각이 들어서요 ㅜㅜ   알텍을 계속 반복하는게 좋을까요 아니면 알택 + 절대지존을 반복하는게 좋을까요   아니면 저위에 알텍크포절지다듣는게 좋을까요?????,2012.03.25. 20:58,10282451,한석원 인강,For My Dream
고3학생인데요 이과생인데 이번에 수리 나형으로 전향했어요.. 프리패스를 구매하는게 나을까요 아니면 무한패스를 구매해서 나중에 절대지존만 듣거나 하는게 나을까요??? 사실 프리패스구매하면 알텍이랑 크포랑 절대지존 그리고 파이널까지 다 들을 수있는데 제가 EBS 자이 모의고사를 하고있는 와중에 그것까지 다 할 수 있을까하는 생각이 들어서요 ㅜㅜ   알텍을 계속 반복하는게 좋을까요 아니면 알택 + 절대지존을 반복하는게 좋을까요   아니면 저위에 알텍크포절지다듣는게 좋을까요?????,2012.03.25. 20:41,10282252,고3 한석원인강,For My Dream
,2012.03.25. 18:22,10281152,한석원 알텍 ,11111
"신승범 T 적분까지 했었는데 통계 건너뛰고 학교진도 따라간다고 지금 한석원 T 기벡 일차변환 듣는중인데 모의고사나 내신때문에 적분도 이제 같이 들을려고 했는데 친구가 적분할꺼면 미분먼저 하라고 하고... 모의고사 범위나 내신범위를 따라가기에는 시간은 없고... 하루종일 인강만 할수도없고 화학인간 15강 남고 화학끝나자마자 생물들을려고 했는디... 지금 미치겠음... 미분 17강 적분 20강 통계 24강 일차 15강 공간 24강  화학 16강 생물 27강 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언제 다 듣지 5월 초가 중간고사인데 범위가  적통-적분법,수1 기벡-쌍곡선, 수2 어떻게햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제발 나 좀 도와줘 3학년 내내 인강듣다 끝나겠어... 여름방학까지는 개념정리 끝내야 될거같은데....이건 뭐...                  ",2012.03.25. 15:08,10279893,한석원 T 강의 어떻게 다 듣지....,ㅇㅇㅇ
,2012.03.25. 03:08,10277878,한석원인강질문,namtaehyoung
              둘이 뭐가다르죠?   전 한석원만 듣는데 미분법듣다가 팬티에 볼일봄   그런데 신승범도 그렇게 대단하다는데 뭐가쩜?   한석원은 벡터들어가면 누나말로는 강의보는내내 팬티갈아입는다던데    ,2012.03.25. 01:45,10277402,한석원 신승범.,공부하자
            한석원 인강 듣고 있는데 좋긴 한데 쫌 벅찬 느낌?      ,2012.03.24. 20:01,10273952,쩌업 한석원 수리 힘들어,뉴올리언스
            문과이고 한석원 생각의질서 알텍커리 아니면 신승범커리 쭉탈려고 하는데 신승범은 너무 어려운거같기도하고 ........... 어떤지.. 님들에 생각좀        ,2012.03.24. 01:14,10270927,수리 한석원 신승범,아스날
"학원을 다니는데 분의기가 애들도 너무 많고 해서 질문이 어려워;   조교썜을 두기는 하지만 이상하게 내 성격때문인지 가기가 꺼려지더라고;;   선생님한테 따로 질문하러 가기도 그렇고 성격이 어떻든 가서 질문해야하는건 머리론 알겠는데 실천이 안되더라   그래서 차라리 맘편하게 내가 모르는거 다 질문할수있는 인강으로 할려고 하는데    어떻게 생각해?   방학때 수1, 수2도 거의 다 끝났어 근데 다시 들을려고해   수1 수2 기벡 적통을 다 들으면 일주일에 2번씩 4시간을 듣는다는 가정하에 거의 7월달에 끝나더라   솔직히 방학이면 따라가겠는데 지금 학교도 가니 시간이 너무 부족한거같애   말하는게 늦었는데 3월 모의고사 등급은 3등급이야   멀해야할까...    방금 한석원 커리를 다 보고왔는데 158강에 4시간씩 일주일에 2번 듣는다고 가정하면 5달이 걸리더라;;;   신승범커리가 한석원커리보다 많다고 들었는데 내가 잘못계산한거야??           1. 신승범커리를 지금부터 따라가도 늦지않을까? (이런질문이 많긴많더라)   2. 고쟁이는 4회를 들었을때 몇문제를 풀어야되?   3. 신승범과 한석원 중에서 4개의 영역을 다 듣는다면 어느쪽이 더 오래걸려??      신승범이 더 오래걸린다고 들었는데 내가 계산해보니 한석원이 더 오래걸리는거같은데??   4. 한석원은 고쟁이 같은 문제집이 따로 있어?                 질문하는 주제에 기간을 달아서 미안한데 요번주 주말까지 댓글 달아주면 안될까??  ㅠㅠ 너무 급해 ㅠㅠ              ",2012.03.23. 00:39,10267125,"수리, 학원을 끊고 인강할려고해 도와주면 안됄까...? ㅠ[신승범vs한석원] ",이즈
    나형 93%인데   누가더 갠찬을지... 자기한테맞는선생님들으라하지말고   들어보신분 간단하게 장단점좀알려주세요              ,2012.03.22. 22:23,10266248,신승범vs한석원,토시
"                        지금 개념 거의다 들어 가는데 그 다음강의도 들을거야?                 ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.03.22. 19:23,10265507,수리 한석원꺼 듣는애 있니?,뉴올리언스
그럼 집중이안되서 ㅠ 수리라서 그런지 좀 불편한것도있고  수리 울렁증 ㅋㅋ  이렇게 해서라도 듣는게 좋겠징?? 괜히 이해도 못하고 넘어가는거보다                  ,2012.03.20. 19:40,10258038,한석원 쌤은 스트레이트로 못듣겠어요,서털웅
    두개 적통기백하고 생물2 들으려고하는데 교재없어가지고...   적통기백 풍산자로 듣고   생물2는 완자로 들을려고하는데 괜찬을까?   책은안살꺼야           ,2012.03.20. 00:17,10255835,한석원 최정윤강의,아낙느
    기벡은 알텍들을건데 수2는 누구들을지모르겟음 원래개념은있엇는데 겨울방학떄 수2공부하나도안해서 다까먹엇어 추천좀          ,2012.03.18. 14:20,10246966,이과 수2 한석원알파테크닉 vs 신승범 수능적해석,호로로룰
"  겨울방학때 적분이랑 기벡개념이안잡혀있어서 신승범수접들엇엇는데  친구가 한석원듣고 감동먹엇다해서 또 유명하기도하고 원래 신승범수해로 4과목다들으려햇는데 일단 수2를다까먹어서 수2수해들으려고 개념도해준데서 신승범강의는 수해부터가 진짜라며? 교재도좋다그러고 근데 한석원도 좋다그래서 이래저래 고민임ㅠㅠㅠㅠㅠㅠ 모고는 3등급이엇는데 이번3월에 5로떨어졋어 수2부분을다까먹어서 지금 수해듣는건 미친짓인가? 너무늦엇나? 횡설수설..누가좋을지모르겟어 그리고 확률부분도 되게 약하고해서 수해가나을까 알파테크닉이나을까? 두분장단점하고 추천좀!                       ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.03.16. 18:06,10236207,이과 한석원알파테크닉하고 신승범수해 둘중에,호로로룰
  문과고 모의등급은 1등급 후반~2등급 초반 왔다갔다해  미통기는 한 번 하긴 했는데 많이 까먹음ㅋㅋㅋ..  학원도 끊고 해서 개념확실히 잡아보려하는데  한석원이랑 신승범 중 어느걸 더 추천함?                      ,2012.03.15. 21:23,10233016,문과 한석원 신승범,로마의조휴일
  안녕하세요 고3 이과생입니다~ 지금 생각의질서나 알파테크닉 두 인강중 하나 수강하려고 고민중인데요.. 저는 개념을 한번씩을 들었지만 정확하게 개념을 아는게 아니라서 인강들으면서 기초적인 개념을 완벽하게 하고 응용된 문제풀이도 병행하고 싶거든요..   알텍보다는 난이도가 낮은 생각의 질서를 들을까요 아니면 알텍을 들을까요?                ,2012.03.15. 19:13,10232441,한석원 생각의 질서 vs 알파테크닉,슈퍼마리오
저는 작년 6월 3등급상위 9월 3등급중상위 수능 4등급상위 받은 재수생입니다.   제가 얼마전에 한석원선생님 프리패스 구매했는데 책올때까지 이리저리 알아보던중   중위권이 한석원들으면 남는게 없다고 하더라고요.    그래서 이렇게 질문드림.. 중위권이 한석원들으면 버거울까요?   참고로 가형입            ,2012.03.14. 00:31,10223699,한석원선생님수업 중위권한테 버거운가요,응삼수네
"    크포랑 절지 요번 년도 새로 촬영한거임?   알텍은 새로 촬영 안한걸로 알고있는데...                                     ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)                    ",2012.03.13. 23:00,10222965,한석원 티치미에 올라와있는거,빠나나맛우유
,2012.03.12. 15:16,10216675,신승범vs 한석원 강의 고민 ToT ,긍정의힘ㅇㅅㅇ
,2012.03.11. 23:18,10213960,신승범수해적통하고 한석원알파테크닉 기벡병행,namtaehyoung
,2012.03.11. 22:54,10213682,한석원 수열 ot듣는데,희망미래
"난 특성화고 자연계열 학생인데 ㅎ   내가 수학학원을 다니는데 학원이좀 빈약해서 거의 알아서 공부하는 학원 같은건데    이걸론 부족하다 싶어서 그런데 , 책은 개념원리 하는데  개념원리+인강 이렇게 가려고 생각중이라서그런데   신승범이랑 한석원샘중에서 고르려는데 어떤쌤이더좋을까?    그리고 한석원샘은 개념원리보면서 알파텍들어도되는거지?ㅋ   승버쌤은 접근부터 봐야되는거같더라공 , 그래서 듣는다면 고1수능마인드 들으면서 수1부터좀 빠르게들어야될거같은데   둘다 장단점으로 비교좀해줘 ㅋ 두쌤다 좋은쌤같은데말이양     // 아그리구 그냥 수학학원에서 개념원리 + 정석 이나 쎈 일품등등으로 해볼까?.. 근대 개념잡기가좀힘들어서 ㅋ                  ",2012.03.11. 22:41,10213570,한석원Vs 신승범 (이과생),별명생각중
"   고2 11월 모의고사 때 수리 6등급이 떴어... 2학년 때 진짜 심하게 놀았거든ㅠㅠㅠㅠㅠㅠㅠ그래서 정말 충격받고 굳게 마음을 다잡고 방학때 개념원리 수1 수2를 꼼꼼하게 한바퀴를 돌렸어(2학년때 개념원리 그냥 쪼금쪼금씩 풀어놓은 정도였음) 개념원리로 어느정도 개념건들여 봤겠다... 복습용으로 부족한 부분 한석원 쌤 강의 들으려는데 ,,.. 6등급은 좀 무리가 있으려나????ㅠㅠㅠㅠㅠ도와주라ㅠㅠㅠㅠㅠ                ",2012.03.10. 23:20,10206991,이과 고3 수리 한석원 도와줘ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,superb
"    기본서돌리고 알텍들을껀데 등급은 5-6이고 ㅠㅠ  비추??                                       ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.03.09. 23:24,10201435,한석원알텍,앙앙
"                  이과인데 수리가형 정말못함 ㅠ ㅠ 5~6등급정도인데 티치미?? 거기 한석원인강이 좋다길래 돈내고 들을려고하는데 괞찮아 ??                        ---------------------------------------------------------------------------------------- 자유게시판 활동 규정 - 바로가기 규정에 어긋나거나, 비속어 등을 사용하는 경우 경고없이 강퇴처리 될 수 있습니다. 이런 분을 보시면 상단 파란색 바의 두 번째에 위치한 수만휘 신고함에 올려주시면 조치해 드립니다. 알바생 사용 금지 협약체[클린인강]란? - 바로가기 수험생인것처럼 가장 후 사용후기 등을 올려 평판을 조작하지 말자고 수험생들에게 약속을 한 교육기관 리스트입니다. 1) 이투스(11년  7월 1일 부 가입)",2012.03.09. 22:58,10201174,수리 한석원인강 괞찮음 ?? ,suwhan70
